player_id,full_name,gender,age,dominant_hand,backhand_type,fitness_level,years_playing,weekly_training_hours,height_cm,matches_played,matches_won,success_rate
P1178,Ido Shapira,male,15,right,two_handed,6.0,1.5,1.7,175.1,104,71,68.7
P1179,Shira Azoulay,female,32,,two_handed,7.0,9.8,5.5,161.2,81,57,70.4
P1180,Amit Azoulay,male,40,left,two_handed,7.0,6.9,3.2,183.0,45,31,67.8
P1181,Guy Peretz,male,18,right,one_handed,5.0,5.2,3.9,169.0,34,22,63.7
P1182,Omer Peretz,male,43,right,,5.0,14.4,2.4,177.7,87,47,54.1
P1183,Adi Peretz,female,27,left,one_handed,8.0,3.1,4.6,165.9,79,69,87.7
P1184,Noam Azoulay,male,41,right,two_handed,7.0,18.9,5.6,168.7,22,14,63.2
P1185,Ariel Peretz,male,38,right,two_handed,5.0,3.2,1.1,181.9,113,56,49.6
P1186,Ido Katz,male,15,right,one_handed,7.0,4.9,4.6,164.8,10,7,66.2
P1187,Ariel Levi,male,39,right,two_handed,8.0,1.0,4.0,177.3,119,70,58.9
P1188,Noa Biton,female,42,right,two_handed,7.0,3.5,2.1,167.3,84,45,53.9
P1189,Amit Azoulay,male,9,left,two_handed,5.0,4.6,6.1,158.6,73,46,62.9
P1190,Tamar Cohen,female,15,left,one_handed,6.0,3.2,1.1,161.0,97,60,61.9
P1191,Ido Shapira,male,15,right,two_handed,5.0,1.1,2.1,162.4,70,44,63.2
P1192,Maya Shapira,female,34,left,,5.0,1.2,5.2,161.0,93,63,67.4
P1193,Guy Avraham,male,25,right,two_handed,5.0,5.5,2.4,173.0,15,10,69.1
P1194,Amit Mizrahi,male,14,right,two_handed,5.0,3.0,4.2,179.6,28,18,64.8
P1195,Noam Levi,male,14,right,two_handed,,2.7,4.0,159.6,65,40,61.9
P1196,Yotam Azoulay,male,21,right,two_handed,6.0,3.2,5.5,178.3,111,84,76.0
P1197,Tamar Levi,female,48,right,two_handed,,5.0,7.5,173.3,93,53,57.4
P1198,Roni Peretz,female,26,,two_handed,4.0,6.4,3.2,191.1,69,45,64.9
P1199,Adi Cohen,female,27,right,two_handed,5.0,3.6,5.4,166.2,56,48,86.4
P1200,Daniel Biton,male,24,right,two_handed,4.0,0.6,7.2,169.9,39,26,67.0
P1201,Guy Cohen,male,20,right,two_handed,3.0,4.5,2.1,170.3,26,16,63.2
P1202,Guy Azoulay,male,38,right,one_handed,9.0,7.9,4.8,158.1,70,50,71.9
P1203,Yotam Shapira,male,11,right,two_handed,8.0,2.3,0.6,154.7,38,26,67.5
P1204,Maya Cohen,female,29,right,one_handed,2.0,4.6,4.5,152.4,32,21,64.7
P1205,Ido Cohen,male,37,right,two_handed,4.0,6.6,11.6,180.5,49,33,67.8
P1206,Noa Friedman,female,32,left,two_handed,5.0,6.2,4.2,175.2,28,21,73.7
P1207,Amit Peretz,male,21,right,two_handed,6.0,6.1,0.2,178.3,113,79,69.6
P1208,Yotam Peretz,male,36,right,one_handed,5.0,1.5,2.0,184.8,115,54,46.8
P1209,Daniel Mizrahi,male,16,right,one_handed,5.0,3.1,4.0,172.4,57,38,67.5
P1210,Hila Biton,female,8,,two_handed,5.0,5.4,10.1,144.6,64,35,54.6
P1211,Tamar Levi,female,31,right,two_handed,4.0,3.5,3.8,172.8,106,68,64.6
P1212,Yotam Cohen,male,25,right,one_handed,,6.1,8.5,175.1,37,25,67.6
P1213,Tamar Katz,female,42,right,one_handed,8.0,7.0,1.8,174.9,116,66,56.6
P1214,Guy Avraham,male,56,right,two_handed,3.0,1.0,10.7,177.9,56,30,53.1
P1215,Gal Cohen,female,35,left,two_handed,7.0,5.2,3.3,171.6,33,22,65.7
P1216,Roni Levi,female,50,,two_handed,,5.7,6.4,170.1,97,66,68.4
P1217,Adi Shapira,female,49,left,two_handed,6.0,2.2,6.0,174.7,21,13,59.7
P1218,Eitan Biton,male,24,left,two_handed,2.0,2.2,9.1,180.9,39,30,77.8
P1219,Gal Biton,female,39,,two_handed,8.0,4.9,4.3,157.7,56,32,56.5
P1220,Eitan Avraham,male,15,right,two_handed,5.0,13.4,1.9,176.7,106,59,55.6
P1221,Noa Mizrahi,female,48,right,,7.0,9.3,7.5,168.2,114,65,57.2
P1222,Yael Biton,female,37,left,two_handed,,5.9,5.0,156.7,23,18,79.5
P1223,Lior Azoulay,female,32,right,two_handed,8.0,0.5,5.0,150.5,114,80,69.9
P1224,Guy Mizrahi,male,40,right,two_handed,6.0,1.2,9.2,170.4,78,47,60.3
P1225,Adi Katz,female,25,right,one_handed,,4.4,3.9,,96,75,77.7
P1226,Ido Mizrahi,male,20,right,,10.0,7.4,3.9,,91,84,92.0
P1227,Noa Peretz,female,31,right,two_handed,4.0,7.7,1.3,174.3,46,32,70.2
P1228,Maya Avraham,female,21,right,one_handed,7.0,1.5,3.7,,16,13,79.1
P1229,Ron Katz,male,27,,two_handed,6.0,2.3,4.1,172.9,36,31,84.9
P1230,Noam Biton,male,40,right,two_handed,10.0,2.5,5.9,164.1,34,21,60.3
P1231,Ron Shapira,male,31,right,two_handed,6.0,7.5,6.7,178.3,101,80,78.8
P1232,Omer Avraham,male,8,right,one_handed,1.0,1.9,2.3,147.7,42,16,38.2
P1233,Maya Cohen,female,34,right,two_handed,1.0,19.3,4.8,171.6,69,44,63.4
P1234,Omer Biton,male,14,right,two_handed,7.0,1.4,6.9,183.0,31,18,57.7
P1235,Guy Avraham,male,23,right,one_handed,3.0,3.9,3.5,177.6,29,20,67.7
P1236,Noa Mizrahi,female,32,,two_handed,10.0,15.0,,163.6,15,12,81.9
P1237,Ron Mizrahi,male,17,right,two_handed,5.0,2.6,5.0,173.8,34,18,51.7
P1238,Noam Levi,male,40,right,two_handed,5.0,9.4,5.4,175.1,75,47,63.1
P1239,Ron Cohen,male,37,right,two_handed,4.0,5.5,3.6,180.4,114,69,60.9
P1240,Amit Avraham,male,23,right,two_handed,8.0,10.0,,176.9,77,72,93.9
P1241,Omer Peretz,male,27,right,two_handed,3.0,3.1,0.6,171.6,68,41,61.0
P1242,Roni Levi,female,10,right,two_handed,9.0,3.5,6.8,138.6,48,33,69.1
P1243,Guy Friedman,male,25,right,two_handed,6.0,8.8,3.4,171.0,77,61,79.6
P1244,Adi Levi,female,19,right,two_handed,,4.6,10.5,,80,69,86.2
P1245,Yael Avraham,female,31,right,one_handed,3.0,8.0,7.1,156.8,49,32,64.8
P1246,Yael Biton,female,31,left,,5.0,10.6,5.7,163.2,41,31,75.1
P1247,Noa Katz,female,33,right,,6.0,18.4,2.3,160.6,49,38,77.9
P1248,Ron Shapira,male,40,left,one_handed,9.0,3.2,13.0,175.1,83,65,78.2
P1249,Ariel Katz,male,28,left,two_handed,7.0,6.3,1.0,179.4,36,28,77.1
P1250,Guy Mizrahi,male,14,right,two_handed,5.0,6.5,6.1,153.8,25,15,59.2
P1251,Tamar Friedman,female,10,right,two_handed,4.0,5.7,7.1,,81,46,56.4
P1252,Amit Azoulay,male,27,right,two_handed,7.0,1.3,10.2,171.3,112,96,86.0
P1253,Ron Friedman,male,29,right,two_handed,6.0,11.2,2.8,177.8,23,18,76.6
P1254,Adi Cohen,female,24,left,,4.0,7.0,1.1,,109,86,78.9
P1255,Guy Shapira,male,123,right,one_handed,,3.2,0.9,215.3,81,48,58.8
P1256,Omer Mizrahi,male,112,right,two_handed,8.0,2.5,2.8,236.8,110,84,76.5
P1257,Yael Biton,female,41,right,two_handed,,3.0,2.9,168.6,109,65,59.3
P1258,Adi Mizrahi,female,44,right,two_handed,5.0,9.9,4.4,163.3,63,38,60.4
P1259,Omer Shapira,male,20,,one_handed,4.0,7.3,3.2,184.7,117,84,72.1
P1260,Yotam Biton,male,33,right,one_handed,,4.4,2.8,175.4,28,17,60.6
P1261,Guy Biton,male,24,right,two_handed,4.0,2.0,0.4,185.8,89,56,62.7
P1262,Lior Peretz,female,21,right,two_handed,8.0,2.6,5.5,155.5,59,44,74.8
P1263,Roni Shapira,female,23,right,two_handed,8.0,6.3,3.0,162.1,23,18,76.3
P1264,Adi Cohen,female,36,right,two_handed,5.0,2.8,7.0,166.4,10,6,60.0
P1265,Ron Friedman,male,28,right,two_handed,4.0,5.4,1.7,166.5,108,76,70.4
P1266,Omer Mizrahi,male,17,right,two_handed,7.0,1.2,6.5,166.2,19,14,75.0
P1267,Tamar Peretz,female,34,right,one_handed,7.0,6.2,2.2,,87,61,70.5
P1268,Ido Friedman,male,26,right,one_handed,,2.2,3.7,171.9,16,11,71.1
P1269,Noa Mizrahi,female,19,right,two_handed,5.0,4.2,4.6,147.4,92,59,64.5
P1270,Hila Azoulay,female,24,right,two_handed,4.0,1.3,5.8,152.6,64,39,61.2
P1271,Omer Cohen,male,29,right,two_handed,8.0,4.9,3.9,190.1,28,20,71.9
P1272,Amit Cohen,male,8,right,,6.0,6.6,7.1,156.3,93,60,64.6
P1273,Guy Azoulay,male,27,right,two_handed,8.0,4.1,6.8,174.5,11,10,92.6
P1274,Ron Katz,male,22,,two_handed,,1.2,1.6,165.2,21,17,79.1
P1275,Roni Friedman,female,21,right,two_handed,6.0,4.3,4.9,176.5,119,89,74.6
P1276,Amit Biton,male,45,right,one_handed,7.0,6.3,1.7,175.4,54,30,55.4
P1277,Noa Levi,female,15,right,two_handed,7.0,1.7,,139.1,30,23,78.3
P1278,Ido Peretz,male,24,left,two_handed,7.0,11.5,1.0,180.5,20,18,87.9
P1279,Noa Mizrahi,female,29,right,two_handed,7.0,3.6,4.7,165.3,82,60,73.2
P1280,Ariel Mizrahi,male,27,,two_handed,7.0,3.2,2.3,184.1,67,50,73.9
P1281,Noa Biton,female,60,right,two_handed,5.0,0.2,1.4,155.3,108,47,43.2
P1282,Daniel Mizrahi,male,34,right,one_handed,8.0,2.9,1.6,157.3,71,52,73.4
P1283,Tamar Peretz,female,15,right,two_handed,5.0,7.6,,,16,10,62.5
P1284,Ido Biton,male,19,right,two_handed,,3.9,,,45,29,63.4
P1285,Gal Cohen,female,26,right,two_handed,8.0,5.7,2.0,165.7,106,83,78.7
P1286,Ido Avraham,male,22,right,one_handed,,4.0,4.2,180.2,76,56,73.7
P1287,Hila Shapira,female,8,left,one_handed,4.0,3.0,6.9,141.7,98,55,56.4
P1288,Noam Cohen,male,15,right,one_handed,6.0,3.2,4.5,168.6,58,33,57.3
P1289,Maya Biton,female,51,,one_handed,6.0,2.3,7.9,162.9,19,11,58.6
P1290,Hila Avraham,female,24,right,two_handed,3.0,2.3,2.4,178.6,85,45,52.7
P1291,Eitan Azoulay,male,37,left,two_handed,7.0,5.8,,,17,12,67.9
P1292,Shira Avraham,female,25,right,two_handed,6.0,2.5,0.9,147.6,93,62,66.3
P1293,Daniel Katz,male,41,right,two_handed,5.0,3.3,0.9,181.6,81,38,46.4
P1294,Tamar Shapira,female,34,left,two_handed,9.0,8.7,6.1,169.9,102,83,80.9
P1295,Yotam Avraham,male,16,right,one_handed,6.0,51.0,40.3,193.5,54,42,77.0
P1296,Omer Azoulay,male,42,right,two_handed,7.0,2.3,,,113,61,53.8
P1297,Amit Mizrahi,male,31,right,one_handed,8.0,3.6,2.3,172.2,111,78,70.1
P1298,Adi Cohen,female,22,,one_handed,8.0,0.7,7.3,170.7,119,95,79.6
P1299,Hila Friedman,female,8,right,two_handed,10.0,6.1,4.0,151.7,34,23,66.5
